text,label
"EMPLOYMENT AGREEMENT

This Employment Agreement (""Agreement"") is made and effective as of October 26, 2024 (""Effective Date""), by and between InnovateTech Solutions, Inc., a Delaware corporation with its principal place of business at 123 Startup Lane, Palo Alto, CA 94301 (""Company""), and Alex J. Chen (""Employee""), residing at 456 Elm Street, Mountain View, CA 94041, SSN: ###-##-####.

WHEREAS, Company is engaged in the business of developing and marketing SaaS-based project management software; and
WHEREAS, Company desires to employ Employee as a Software Engineer I, and Employee desires to accept such employment, on the terms set forth herein.

NOW, THEREFORE, in consideration of the mutual covenants and promises contained herein, the parties agree as follows:

1. POSITION AND DUTIES. Employee shall be employed in the position of Software Engineer I, reporting to the Director of Engineering. Employee's primary duties will include developing, testing, and maintaining software applications; collaborating with product managers and designers; writing clean, efficient code; and participating in code reviews. Employee's primary work location shall be the Company's Palo Alto office, with the option to work remotely up to two (2) days per week upon manager approval.

2. TERM OF EMPLOYMENT. Employee's employment under this Agreement shall commence on November 15, 2024 (""Start Date"") and shall continue on an at-will basis, meaning either party may terminate the employment relationship at any time, with or without cause or notice.

3. COMPENSATION.
   a. Base Salary. Company shall pay Employee an annual base salary of $95,000, payable in accordance with Company's standard bi-weekly payroll schedule, subject to applicable withholdings and deductions.
   b. Bonus. Employee will be eligible to participate in the Company's discretionary annual bonus plan, with a target bonus of 5% of base salary, based upon the achievement of individual and company performance goals.

4. BENEFITS. Employee shall be eligible to participate in the Company's standard health, dental, and vision insurance plans, subject to the terms and conditions of those plans. Employee shall be eligible for fifteen (15) days of paid time off (PTO) per calendar year, accrued on a bi-weekly basis. Employee shall be eligible to participate in the Company's 401(k) plan, with a 4% company match, after completing ninety (90) days of employment.

5. PROPRIETARY INFORMATION AND INVENTIONS. Employee agrees to sign and be bound by the terms of the Company's standard Proprietary Information and Inventions Agreement (""PIIA""), attached as Exhibit A, which includes provisions on confidentiality, assignment of inventions, and non-disclosure.

6. ENTIRE AGREEMENT. This Agreement, together with the PIIA, constitutes the entire agreement between the parties and supersedes all prior agreements and understandings, whether written or oral.

IN WITNESS WHEREOF, the parties have executed this Agreement as of the date first written above.

INNOVATETECH SOLUTIONS, INC.

By: _________________________
Name: Sarah Mitchell
Title: CEO

EMPLOYEE

_________________________
Alex J. Chen",Employment
"EXECUTIVE EMPLOYMENT AGREEMENT

This Executive Employment Agreement (""Agreement"") is entered into as of January 15, 2025, by and between GlobalSynergy Corp., a New York corporation with offices at 500 Park Avenue, New York, NY 10022 (""Company""), and Victoria L. Reynolds (""Executive""), with an address of 25 Central Park West, New York, NY 10023, SSN: ###-##-####.

WHEREAS, the Company desires to employ Executive as its Chief Technology Officer (CTO); and
WHEREAS, Executive desires to accept such employment, subject to the terms and conditions set forth herein.

NOW, THEREFORE, in consideration of the mutual covenants herein contained, the parties agree as follows:

1. TITLE AND RESPONSIBILITIES. Executive shall serve as the Chief Technology Officer. Executive shall report directly to the Chief Executive Officer and shall have such duties and responsibilities as are consistent with such position, including overseeing all technology and product development, setting the company's technological strategy, and managing a budget of $50M.

2. TERM. The initial term of this Agreement shall be three (3) years, commencing on February 1, 2025 (the ""Commencement Date""). Thereafter, this Agreement shall automatically renew for successive one (1) year terms unless either party gives written notice of non-renewal at least ninety (90) days prior to the end of the then-current term.

3. COMPENSATION.
   a. Base Salary. The Company shall pay Executive an annual base salary of $325,000, payable in semi-monthly installments.
   b. Annual Bonus. Executive shall be eligible for an annual performance bonus with a target amount of 50% of Base Salary, based on achievement of Board-approved KPIs.
   c. Signing Bonus. Executive shall receive a one-time signing bonus of $75,000, payable with the first payroll following the Commencement Date. This bonus is subject to repayment if Executive voluntarily terminates employment within twelve (12) months.
   d. Equity Grant. Upon the Commencement Date, Executive will be granted Restricted Stock Units (RSUs) with a grant date fair value of $500,000, which shall vest over four (4) years, with 25% vesting on the first anniversary of the grant date and the remainder vesting quarterly thereafter.

4. BENEFITS AND PERQUISITES. Executive shall be eligible for the Company's executive benefits package, including medical, dental, vision, life, and disability insurance. Executive shall receive four (4) weeks of paid vacation per year. The Company shall provide an annual stipend of $15,000 for financial planning services. Executive shall be entitled to first-class air travel for all business trips.

5. TERMINATION AND SEVERANCE. If the Company terminates Executive's employment without Cause (as defined herein) or Executive resigns for Good Reason (as defined herein), Executive shall be entitled to: (i) a severance payment equal to twelve (12) months of Base Salary, plus (ii) a pro-rated annual bonus for the year of termination, plus (iii) accelerated vesting of all equity awards that would have vested in the twelve (12) months following termination, and (iv) COBRA premium reimbursement for twelve (12) months. Such severance is contingent upon Executive's execution of a release of claims.

6. RESTRICTIVE COVENANTS. Executive agrees to be bound by the Non-Competition, Non-Solicitation, and Confidentiality provisions set forth in Exhibit B, which survive termination of this Agreement. The non-compete restriction shall apply for twelve (12) months post-employment within the United States and in any country where the Company does business.

IN WITNESS WHEREOF, the parties have executed this Agreement.

GLOBALSYNERGY CORP.

By: _________________________
Name: Robert Williams
Title: Chairman of the Board

EXECUTIVE

_________________________
Victoria L. Reynolds",Employment
"REGISTERED NURSE EMPLOYMENT CONTRACT

This Employment Contract (""Contract"") is made between Community General Hospital (""Hospital""), located at 789 Healthcare Drive, Boston, MA 02115, and Emily R. Davis, RN (""Nurse""), with a mailing address of 1010 Commonwealth Ave, Apt 4B, Boston, MA 02116, and SSN: ###-##-####.

1. EMPLOYMENT. Hospital agrees to employ Nurse as a Registered Nurse in the Emergency Department, and Nurse accepts such employment, under the terms below. Nurse represents and warrants that she holds a current, unrestricted Massachusetts RN license and BLS/ACLS certifications.

2. TERM. This is a full-time, at-will position commencing on December 5, 2024. Employment is contingent upon successful completion of a background check, drug screening, and physical capacity exam.

3. SCHEDULE. Nurse's regular schedule shall consist of three (3) 12-hour shifts per week, from 7:00 PM to 7:30 AM, including every other weekend and holiday, as per the departmental staffing matrix. Overtime must be pre-approved in writing by the Nurse Manager.

4. COMPENSATION. Nurse shall be paid an hourly rate of $48.75. Overtime shall be paid at a rate of one and one-half times the regular hourly rate for all hours worked in excess of forty (40) in a single workweek. Shift differentials of $4.00/hour for nights and $5.00/hour for weekends will apply.

5. BENEFITS. Nurse shall be eligible for the Hospital's comprehensive benefits package, including health, dental, and vision insurance, effective the first of the month following 30 days of employment. Nurse shall accrue Paid Time Off (PTO) at a rate of 7.08 hours per bi-weekly pay period (approximately 23 days per year). PTO combines vacation, sick, and personal time.

6. PROFESSIONAL RESPONSIBILITIES. Nurse shall provide direct patient care, administer medications, monitor patient conditions, maintain accurate electronic health records (EHR) in compliance with Hospital policy and HIPAA regulations, and collaborate with the healthcare team.

7. CONFIDENTIALITY. Nurse shall strictly adhere to all Hospital policies regarding patient confidentiality and HIPAA. Nurse shall not disclose any Protected Health Information (PHI) or hospital proprietary information during or after employment.

8. MANDATORY ORIENTATION. Nurse must complete a four (4) week hospital and unit-based orientation program. Failure to successfully complete orientation may result in termination of employment.

9. CONTINUING EDUCATION. Hospital will provide an annual allowance of $1,200 and 3 paid days for continuing education units (CEUs) and professional development relevant to the Nurse's position.

ACCEPTED AND AGREED:

COMMUNITY GENERAL HOSPITAL

By: _________________________
Name: Dr. James O'Malley
Title: Chief Medical Officer

NURSE

_________________________
Emily R. Davis, RN

Date: _________________________",Employment
"ASSOCIATE ATTORNEY EMPLOYMENT AGREEMENT

This Agreement is entered into by and between Sterling & Partners, LLP, a professional limited liability partnership with offices at 1000 Constitution Avenue, Philadelphia, PA 19103 (""the Firm""), and Michael R. Jenkins (""Associate""), of 2201 Benjamin Franklin Parkway, Philadelphia, PA 19130, SSN: ###-##-####.

1. EMPLOYMENT. The Firm hereby employs Associate as an Associate Attorney in its Corporate Transactions practice group, and Associate accepts such employment. Associate shall report to the Partner in charge of the practice group.

2. TERM. This is an at-will employment relationship commencing on January 10, 2025. Notwithstanding the foregoing, the first ninety (90) days of employment shall constitute a probationary period.

3. DUTIES. Associate's duties shall include legal research, drafting pleadings, motions, briefs, and agreements; conducting depositions and discovery; client consultations; and all other duties customary for an associate in the Firm's corporate practice. Associate must maintain active membership in good standing with the Pennsylvania Bar.

4. COMPENSATION.
   a. Salary. The Firm shall pay Associate an annualized base salary of $185,000, payable in semi-monthly installments.
   b. Bonus. Associate shall be eligible for a discretionary annual bonus based on individual performance, collected billings, and the Firm's overall profitability. The target bonus range is 10-20% of base salary.

5. BILLABLE HOURS. Associate is expected to bill a minimum of 1,950 hours per calendar year. Time must be recorded daily in the Firm's timekeeping system.

6. BENEFITS. Associate shall be eligible for health, dental, and vision insurance. Associate shall accrue fifteen (15) days of vacation and ten (10) days of sick leave per year. The Firm provides a 401(k) plan with a 3% non-elective employer contribution.

7. PROFESSIONAL RESPONSIBILITIES. Associate must adhere to the Pennsylvania Rules of Professional Conduct. Associate shall avoid any conflicts of interest and shall promptly disclose any potential conflicts to the Managing Partner.

8. CONFIDENTIALITY. Associate shall not, during or after employment, disclose any confidential information of the Firm or its clients, including case strategies, client lists, financial information, or trade secrets.

9. PROPRIETARY RIGHTS. All work product created by Associate during the course of employment shall be the sole property of the Firm.

10. TERMINATION. Upon termination, Associate shall be entitled to payment of all accrued but unpaid salary and accrued, unused PTO. Associate shall not be entitled to any further compensation unless otherwise required by law.

IN WITNESS WHEREOF, the parties have executed this Agreement.

STERLING & PARTNERS, LLP

By: _________________________
Name: Eleanor Sterling
Title: Managing Partner

ASSOCIATE

_________________________
Michael R. Jenkins",Employment
"PRODUCTION MANAGER EMPLOYMENT CONTRACT

This Employment Contract (""Contract"") is made effective November 1, 2024, between Precision Manufacturing Co. (""Employer""), located at 3300 Industrial Parkway, Detroit, MI 48208, and David K. Miller (""Employee""), of 1555 Maple Road, Royal Oak, MI 48073, SSN: ###-##-####.

ARTICLE I: EMPLOYMENT
Employer agrees to employ Employee as the Production Manager for Plant #4, and Employee accepts such employment. Employee shall report to the Director of Operations.

ARTICLE II: DUTIES AND RESPONSIBILITIES
Employee shall be responsible for overseeing all production activities on the second shift, ensuring safety compliance, managing a team of 45 production associates and 5 supervisors, meeting production quotas, managing inventory, implementing lean manufacturing principles, and maintaining quality control standards.

ARTICLE III: COMPENSATION
Section 3.1. Base Salary. Employee shall receive an annual salary of $92,000, paid bi-weekly.
Section 3.2. Performance Bonus. Employee shall be eligible for a quarterly performance bonus of up to 10% of quarterly salary, based on metrics including safety record (30%), on-time delivery (30%), and production efficiency (40%).

ARTICLE IV: SCHEDULE
Employee's regular work schedule shall be Monday through Friday, 3:00 PM to 11:30 PM. Employee is expected to work such additional hours as are necessary to fulfill job duties.

ARTICLE V: BENEFITS
Employee shall be eligible for company-sponsored medical, dental, and life insurance. Employee shall accrue ten (10) vacation days in the first year, increasing to fifteen (15) days after three years of service. Employee is eligible for the company's 401(k) plan with a 50% match on the first 6% of deferred salary.

ARTICLE VI: CONFIDENTIALITY AND NON-COMPETE
Employee shall not disclose any of Employer's proprietary information, including manufacturing processes, customer lists, and cost data. For a period of twelve (12) months following termination, Employee shall not work for a competing manufacturing business within a 50-mile radius of Detroit, MI.

ARTICLE VII: TERMINATION
This is an at-will employment relationship. Either party may terminate employment at any time, with or without cause. Employer may terminate Employee immediately for violation of safety protocols, gross misconduct, or theft.

AGREED AND ACCEPTED:

PRECISION MANUFACTURING CO.

By: _________________________
Name: Linda Harrison
Title: VP of Human Resources

EMPLOYEE

_________________________
David K. Miller

Date: _________________________",Employment
"RETAIL STORE MANAGER AGREEMENT

This Store Manager Agreement (""Agreement"") is entered into by and between TrendSetters Retail Inc. (""Company""), with corporate offices at 88 Fifth Avenue, New York, NY 10011, and Maria S. Gonzalez (""Manager""), residing at 234 Oak Street, Hoboken, NJ 07030, SSN: ###-##-####.

1. POSITION. Manager is employed as the Store Manager for Store #207, located at 1500 Broadway, New York, NY 10036. Manager shall report to the District Manager.

2. EMPLOYMENT AT WILL. Manager's employment is at-will and not for a specified period. Either party may terminate the employment relationship at any time with or without cause or advance notice.

3. DUTIES. Manager's duties include, but are not limited to: achieving store sales and profit goals; managing all store operations including opening and closing procedures; hiring, training, scheduling, and supervising a staff of 15-20 associates; managing inventory and loss prevention; ensuring exceptional customer service; and executing visual merchandising directives.

4. COMPENSATION.
   a. Base Salary. Manager will receive a base salary of $65,000 per year, paid bi-weekly.
   b. Monthly Commission. Manager will receive a monthly commission of 1.5% of the store's net sales exceeding the monthly sales target.
   c. Annual Bonus. Manager is eligible for an annual bonus based on store profitability and shrinkage control, with a target of 5% of annual base salary.

5. SCHEDULE. Manager's schedule will typically be 45-50 hours per week, including evenings, weekends, and holidays as required by the retail business. Manager is classified as exempt from overtime.

6. BENEFITS. Manager is eligible for Company benefits, including health insurance, dental insurance, and a 401(k) plan with a company match of up to 4% of salary. Manager will accrue paid vacation at a rate of ten (10) days per year for the first three years, increasing to fifteen (15) days thereafter.

7. EXPENSE REIMBURSEMENT. Company will reimburse Manager for reasonable and necessary business expenses incurred in the performance of her duties, in accordance with Company policy.

8. CONFIDENTIALITY. Manager agrees not to disclose any confidential business information, including sales data, customer lists, marketing strategies, or operational procedures, during or after employment.

9. INVENTORY CONTROL. Manager is responsible for maintaining inventory shrinkage below 1.5% of sales. Failure to do so may result in disciplinary action, including termination and/or liability for losses in cases of proven negligence.

ACCEPTED AND AGREED:

TRENDSETTERS RETAIL INC.

By: _________________________
Name: Kevin Zhao
Title: Director of Retail Operations

MANAGER

_________________________
Maria S. Gonzalez",Employment
"CONSULTING SERVICES AGREEMENT (CONTRACT-TO-HIRE)

This Consulting Services Agreement (""Agreement"") is made as of February 1, 2025, between Apex Strategic Consulting Group (""Client""), with offices at 200 Clarendon Street, Boston, MA 02116, and Benjamin T. Carter (""Consultant""), an independent contractor with a principal place of business at 87 Summer Street, Boston, MA 02110, SSN/EIN: ###-##-####.

BACKGROUND
Client is engaged in the business of providing management consulting services. Client desires to retain Consultant to provide services on a temporary basis, with the potential for conversion to a full-time employee (""FTE"") after a six-month evaluation period.

1. SERVICES. Consultant agrees to provide senior-level consulting services related to digital transformation for client projects (the ""Services""). Consultant shall report to the Client's Engagement Partner.

2. TERM. This Agreement shall commence on February 15, 2025, and shall continue for a period of six (6) months (the ""Initial Term""), unless earlier terminated. Upon mutual written agreement at the end of the Initial Term, Consultant may be offered a full-time employment agreement.

3. COMPENSATION. Client shall pay Consultant a rate of $125.00 per hour for all hours worked, not to exceed 40 hours per week without prior written authorization. Consultant shall invoice Client bi-weekly, and Client shall pay invoices within 15 days of receipt.

4. INDEPENDENT CONTRACTOR STATUS. Consultant is an independent contractor, not an employee of Client. Consultant is solely responsible for all taxes, insurance, and benefits. Consultant has no authority to bind Client to any agreement.

5. CONVERSION TO EMPLOYMENT. If Client offers and Consultant accepts an FTE position, the proposed terms would include an annual base salary of $145,000, eligibility for an annual bonus target of 15%, and standard company benefits. This Agreement shall terminate upon the effective date of any such employment agreement.

6. CONFIDENTIALITY. Consultant shall not disclose any of Client's or its clients' confidential information during the term of this Agreement or at any time thereafter.

7. WORK PRODUCT. All work product, inventions, and intellectual property created by Consultant in the course of performing the Services shall be the sole property of Client.

8. NO GUARANTEE. This Agreement does not constitute a guarantee of FTE employment. The decision to offer FTE status will be based on Client's business needs and Consultant's performance.

IN WITNESS WHEREOF, the parties have executed this Agreement.

APEX STRATEGIC CONSULTING GROUP

By: _________________________
Name: Amanda Pierce
Title: Managing Partner

CONSULTANT

_________________________
Benjamin T. Carter",Employment
"INVESTMENT ADVISOR REPRESENTATIVE AGREEMENT

This Investment Advisor Representative Agreement (""Agreement"") is made by and between Harbor Wealth Management, LLC, a registered investment adviser (CRD #: 123456) with its principal office at 600 Montgomery Street, San Francisco, CA 94111 (""Adviser""), and Olivia P. Wright (""Representative""), with an address of 1000 California Street, San Francisco, CA 94109, SSN: ###-##-####.

1. ENGAGEMENT. Adviser engages Representative as an Investment Advisor Representative (""IAR"") to provide investment advisory services to the Adviser's clients. Representative's duties include conducting financial planning meetings, providing investment advice, managing client portfolios, and soliciting new clients, all in compliance with the Investment Advisers Act of 1940 and applicable state laws.

2. LICENSING. Representative represents that she currently holds, and agrees to maintain in good standing, the Series 65 license (or Series 7 and 66) and any other required regulatory licenses. All licenses shall be held under the Adviser's registration. Representative must complete all required continuing education.

3. COMPENSATION.
   a. Base Draw. Representative shall receive a guaranteed monthly draw of $5,000 against commissions and fees.
   b. Commissions. Representative shall receive 40% of all advisory fees generated from her assigned client accounts.
   c. Bonus. Representative is eligible for a quarterly bonus based on assets under management (AUM) growth and client retention metrics.

4. COMPLIANCE. Representative shall strictly adhere to all policies and procedures in the Adviser's Compliance Manual, including those related to fiduciary duty, advertising, client communications, and recordkeeping. Representative shall fully cooperate with all internal and external audits and examinations.

5. CLIENT RECORDS. All client records, files, and information are and shall remain the sole property of the Adviser. Upon termination of this Agreement, Representative shall immediately return all such property.

6. NON-SOLICITATION. For a period of one (1) year following the termination of this Agreement, Representative shall not directly or indirectly solicit any of the Adviser's clients for whom Representative provided services or about whom Representative received confidential information.

7. TERM AND TERMINATION. This is an at-will agreement. Either party may terminate this Agreement at any time, with or without cause, upon written notice. Upon termination, Representative's right to all future compensation, except for earned but unpaid commissions, shall cease.

8. INDEPENDENT CONTRACTOR. For purposes of this Agreement, Representative is an independent contractor, not an employee. Representative is responsible for her own taxes, insurance, and benefits.

AGREED:

HARBOR WEALTH MANAGEMENT, LLC

By: _________________________
Name: Charles Fitzgerald
Title: Chief Compliance Officer

REPRESENTATIVE

_________________________
Olivia P. Wright",Employment
"TEACHER CONTRACT OF EMPLOYMENT

This Contract of Employment (""Contract"") is made by and between the Metropolitan School District of Springfield (""District""), 100 Education Way, Springfield, IL 62701, and Mr. Daniel J. Rivera (""Teacher""), 5520 Scholar Drive, Springfield, IL 62703, SSN: ###-##-####.

1. EMPLOYMENT. The District hereby employs Teacher as a Full-Time High School Mathematics Teacher (Grade 10), and Teacher accepts such employment. Teacher shall be assigned to Central High School for the 2024-2025 school year, commencing August 12, 2024, and ending June 10, 2025.

2. CREDENTIALS. Teacher warrants that he holds a valid Illinois Professional Educator License (PEL) with endorsements in Mathematics (Grades 9-12). Teacher must maintain this license in good standing throughout his employment.

3. SALARY. Teacher shall be placed on Step 4 of the Master's Degree column of the attached Certified Salary Schedule (Exhibit A). The annual salary for this placement is $62,450. This salary shall be paid in twenty-six (26) bi-weekly installments.

4. DUTIES. Teacher's duties include, but are not limited to: planning and delivering instruction; assessing student progress; maintaining student discipline; participating in staff development; attending faculty meetings; and performing other duties as assigned by the Building Principal in accordance with the Collective Bargaining Agreement (CBA) between the District and the Springfield Education Association.

5. WORK DAY. Teacher's work day shall be seven and one-half (7.5) hours, plus additional time as necessary to fulfill professional duties, including lesson planning and grading.

6. BENEFITS. Teacher shall be eligible for benefits as outlined in the CBA, including enrollment in the State Teachers' Retirement System (STRS), health insurance with 80% of the premium paid by the District, and fifteen (15) days of sick leave per year.

7. EVALUATION. Teacher's performance will be evaluated in accordance with the District's teacher evaluation plan, which includes formal observations and a summative evaluation.

8. PROFESSIONAL CONDUCT. Teacher shall comply with all District policies, administrative regulations, and the Illinois School Code. Teacher has received and reviewed a copy of the District's policies.

9. ENTIRE AGREEMENT. This Contract, together with the CBA and District policies, constitutes the entire agreement between the parties.

APPROVED BY THE BOARD OF EDUCATION:

METROPOLITAN SCHOOL DISTRICT OF SPRINGFIELD

By: _________________________
Name: Dr. Susan Wilkins
Title: Superintendent

TEACHER

_________________________
Mr. Daniel J. Rivera

Date: _________________________",Employment
"PROGRAM DIRECTOR EMPLOYMENT AGREEMENT

This Employment Agreement (""Agreement"") is made between The Green Earth Initiative, a 501(c)(3) non-profit organization with offices at 888 Conservation Way, Portland, OR 97205 (""Organization""), and Chloe A. Bennett (""Employee""), of 321 Forest Park Ave, Portland, OR 97210, SSN: ###-##-####.

1. POSITION. Employee is hired as the Program Director for the ""Urban Reforestation"" program. Employee shall report to the Executive Director.

2. NATURE OF EMPLOYMENT. Employee's employment is at-will. This Agreement does not create a contract for a definite term.

3. DUTIES. Employee shall be responsible for the overall management, strategy, and execution of the Urban Reforestation program, including grant management and reporting, budget oversight (~$750,000 annually), volunteer coordination, community outreach, and measuring program impact against established metrics.

4. COMPENSATION. Employee shall receive an annual salary of $68,000, payable on a semi-monthly basis. Given the non-profit nature of the Organization, this position is exempt from overtime.

5. BENEFITS.
   a. Employee shall be eligible for health insurance, with 85% of the premium paid by the Organization.
   b. Employee shall accrue fifteen (15) days of vacation and twelve (12) days of sick leave per year.
   c. The Organization offers a 403(b) retirement plan with a 3% employer match after one year of service.
   d. Employee will receive a monthly cell phone stipend of $75 and a public transportation pass.

6. GRANT FUNDING CONTINGENCY. Employee's position is currently funded through a combination of grants. Continued employment is contingent upon the Organization's continued receipt of these grant funds. The Organization will make reasonable efforts to secure alternative funding in the event of a grant loss.

7. TERMINATION. Either party may terminate employment at any time. In the event of termination due to lack of funding, the Organization may provide two (2) weeks' severance pay at its discretion.

8. CONFIDENTIALITY. Employee may have access to donor information, which shall be kept strictly confidential.

9. CONFLICT OF INTEREST. Employee shall adhere to the Organization's Conflict of Interest Policy and shall not engage in any activity that competes with or is detrimental to the Organization.

IN WITNESS WHEREOF, the parties have executed this Agreement.

THE GREEN EARTH INITIATIVE

By: _________________________
Name: Marcus Thorne
Title: Executive Director

EMPLOYEE

_________________________
Chloe A. Bennett",Employment
